Resistance Fitness Multiplier,Introduction Frequency,Generations to 99% drive-carrying individuals
0.09,0.93,500
0.09,0.94,500
0.09,0.95,500
0.09,0.96,500
0.09,0.97,500
0.09,0.98,500
0.09,0.99,500
0.09,1.0,500
0.1,0.5,500
0.1,0.51,500
0.1,0.52,500
0.1,0.53,500
0.1,0.54,500
0.1,0.55,500
0.1,0.56,500
0.1,0.57,500
0.1,0.58,500
0.1,0.59,500
0.1,0.6,500
0.1,0.61,500
0.1,0.62,500
0.1,0.63,500
0.1,0.64,500
0.1,0.65,500
0.1,0.66,500
0.1,0.67,500
0.1,0.68,500
0.1,0.69,500
0.1,0.7,500
0.1,0.71,500
0.1,0.72,500
0.1,0.73,500
0.1,0.74,500
0.1,0.75,500
0.1,0.76,500
0.1,0.77,500
0.1,0.78,500
0.1,0.79,500
0.1,0.8,500
0.1,0.81,500
0.1,0.82,500
0.1,0.83,500
0.1,0.84,500
0.1,0.85,500
0.1,0.86,500
0.1,0.87,500
0.1,0.88,500
0.1,0.89,500
0.1,0.9,500
0.1,0.91,500
0.1,0.92,500
0.1,0.93,500
0.1,0.94,500
0.1,0.95,500
0.1,0.96,500
0.1,0.97,500
0.1,0.98,500
0.1,0.99,500
0.1,1.0,500
0.11,0.5,500
0.11,0.51,500
0.11,0.52,500
0.11,0.53,500
0.11,0.54,500
0.11,0.55,500
0.11,0.56,500
0.11,0.57,500
0.11,0.58,500
0.11,0.59,500
0.11,0.6,500
0.11,0.61,500
0.11,0.62,500
0.11,0.63,500
0.11,0.64,500
0.11,0.65,500
0.11,0.66,500
0.11,0.67,500
0.11,0.68,500
0.11,0.69,500
0.11,0.7,500
0.11,0.71,500
0.11,0.72,500
0.11,0.73,500
0.11,0.74,500
0.11,0.75,500
0.11,0.76,500
0.11,0.77,500
0.11,0.78,500
0.11,0.79,500
0.11,0.8,500
0.11,0.81,500
0.11,0.82,500
0.11,0.83,500
0.11,0.84,500
0.11,0.85,500
0.11,0.86,500
0.11,0.87,500
0.11,0.88,500
0.11,0.89,500
0.11,0.9,500
0.11,0.91,500
0.11,0.92,500
0.11,0.93,500
0.11,0.94,500
0.11,0.95,500
0.11,0.96,500
0.11,0.97,500
0.11,0.98,500
0.11,0.99,500
0.11,1.0,500
0.12,0.5,500
0.12,0.51,500
0.12,0.52,500
0.12,0.53,500
0.12,0.54,500
0.12,0.55,500
0.12,0.56,500
0.12,0.57,500
0.12,0.58,500
0.12,0.59,500
0.12,0.6,500
0.12,0.61,500
0.12,0.62,500
0.12,0.63,500
0.12,0.64,500
0.12,0.65,500
0.12,0.66,500
0.12,0.67,500
0.12,0.68,500
0.12,0.69,500
0.12,0.7,500
0.12,0.71,500
0.12,0.72,500
0.12,0.73,500
0.12,0.74,500
0.12,0.75,500
0.12,0.76,500
0.12,0.77,500
0.12,0.78,500
0.12,0.79,500
0.12,0.8,500
0.12,0.81,500
0.12,0.82,500
0.12,0.83,500
0.12,0.84,500
0.12,0.85,500
0.12,0.86,500
0.12,0.87,500
0.12,0.88,500
0.12,0.89,500
0.12,0.9,500
0.12,0.91,500
0.12,0.92,500
0.12,0.93,500
0.12,0.94,500
0.12,0.95,500
0.12,0.96,500
0.12,0.97,500
0.12,0.98,500
0.12,0.99,500
0.12,1.0,500
0.13,0.5,500
0.13,0.51,500
0.13,0.52,500
0.13,0.53,500
0.13,0.54,500
0.13,0.55,500
0.13,0.56,500
0.13,0.57,500
0.13,0.58,500
0.13,0.59,500
0.13,0.6,500
0.13,0.61,500
0.13,0.62,500
0.13,0.63,500
0.13,0.64,500
0.13,0.65,500
0.13,0.66,500
0.13,0.67,500
0.13,0.68,500
0.13,0.69,500
0.13,0.7,500
0.13,0.71,500
0.13,0.72,500
0.13,0.73,500
0.13,0.74,500
0.13,0.75,500
0.13,0.76,500
0.13,0.77,500
0.13,0.78,500
0.13,0.79,500
0.13,0.8,500
0.13,0.81,500
0.13,0.82,500
0.13,0.83,500
0.13,0.84,500
0.13,0.85,500
0.13,0.86,500
0.13,0.87,500
0.13,0.88,500
0.13,0.89,500
0.13,0.9,500
0.13,0.91,500
0.13,0.92,500
0.13,0.93,500
0.13,0.94,500
0.13,0.95,500
0.13,0.96,500
0.13,0.97,500
0.13,0.98,500
0.13,0.99,500
0.13,1.0,500
0.14,0.5,500
0.14,0.51,500
0.14,0.52,500
0.14,0.53,500
0.14,0.54,500
0.14,0.55,500
0.14,0.56,500
0.14,0.57,500
0.14,0.58,500
0.14,0.59,500
0.14,0.6,500
0.14,0.61,500
0.14,0.62,500
0.14,0.63,500
0.14,0.64,500
0.14,0.65,500
0.14,0.66,500
0.14,0.67,500
0.14,0.68,500
0.14,0.69,500
0.14,0.7,500
0.14,0.71,500
0.14,0.72,500
0.14,0.73,500
0.14,0.74,500
0.14,0.75,500
0.14,0.76,500
0.14,0.77,500
0.14,0.78,500
0.14,0.79,500
0.14,0.8,500
0.14,0.81,500
0.14,0.82,500
0.14,0.83,500
0.14,0.84,500
0.14,0.85,500
0.14,0.86,500
0.14,0.87,500
0.14,0.88,500
0.14,0.89,500
0.14,0.9,500
0.14,0.91,500
0.14,0.92,500
0.14,0.93,500
0.14,0.94,500
0.14,0.95,500
0.14,0.96,500
0.14,0.97,500
0.14,0.98,500
0.14,0.99,500
0.14,1.0,500
0.15,0.5,500
0.15,0.51,500
0.15,0.52,500
0.15,0.53,500
0.15,0.54,500
0.15,0.55,500
0.15,0.56,500
0.15,0.57,500
0.15,0.58,500
0.15,0.59,500
0.15,0.6,500
0.15,0.61,500
0.15,0.62,500
0.15,0.63,500
0.15,0.64,500
0.15,0.65,500
0.15,0.66,500
0.15,0.67,500
0.15,0.68,500
0.15,0.69,500
0.15,0.7,500
0.15,0.71,500
0.15,0.72,500
0.15,0.73,500
