Drive Homozygote Fitness,Introduction Frequency,Generations to 99% drive-carrying individuals
0.58,0.76,10.889
0.58,0.77,8.7
0.58,0.78,7.3
0.58,0.79,6.8
0.58,0.8,6.0
0.58,0.81,5.5
0.58,0.82,5.1
0.58,0.83,5.0
0.58,0.84,4.6
0.58,0.85,4.0
0.58,0.86,4.0
0.58,0.87,4.0
0.58,0.88,3.1
0.58,0.89,3.0
0.58,0.9,3.0
0.58,0.91,2.8
0.58,0.92,2.0
0.58,0.93,2.0
0.58,0.94,1.9
0.58,0.95,1.0
0.58,0.96,1.0
0.58,0.97,1.0
0.58,0.98,1.0
0.58,0.99,1.0
0.58,1.0,1.0
0.59,0.6,1000
0.59,0.61,1000
0.59,0.62,1000
0.59,0.63,1000
0.59,0.64,1000
0.59,0.65,1000
0.59,0.66,1000
0.59,0.67,1000
0.59,0.68,1000
0.59,0.69,1000
0.59,0.7,1000
0.59,0.71,1000
0.59,0.72,1000
0.59,0.73,1000
0.59,0.74,1000
0.59,0.75,12.6
0.59,0.76,9.9
0.59,0.77,8.2
0.59,0.78,7.0
0.59,0.79,6.5
0.59,0.8,6.0
0.59,0.81,5.5
0.59,0.82,5.0
0.59,0.83,5.0
0.59,0.84,4.2
0.59,0.85,4.0
0.59,0.86,4.0
0.59,0.87,3.8
0.59,0.88,3.0
0.59,0.89,3.0
0.59,0.9,3.0
0.59,0.91,2.9
0.59,0.92,2.2
0.59,0.93,2.0
0.59,0.94,2.0
0.59,0.95,1.1
0.59,0.96,1.0
0.59,0.97,1.0
0.59,0.98,1.0
0.59,0.99,1.0
0.59,1.0,1.0
0.6,0.6,1000
0.6,0.61,1000
0.6,0.62,1000
0.6,0.63,1000
0.6,0.64,1000
0.6,0.65,1000
0.6,0.66,1000
0.6,0.67,1000
0.6,0.68,1000
0.6,0.69,1000
0.6,0.7,1000
0.6,0.71,1000
0.6,0.72,1000
0.6,0.73,1000
0.6,0.74,1000
0.6,0.75,11.875
0.6,0.76,9.1
0.6,0.77,7.6
0.6,0.78,6.8
0.6,0.79,6.0
0.6,0.8,5.9
